Season,Round,Record,Result
2003,World Series,4-2,Florida Marlins over New York Yankees
2003,ALCS,4-3,New York Yankees over Boston Red Sox
2003,NLCS,4-3,Florida Marlins over Chicago Cubs
2003,AL Division Series,3-1,New York Yankees over Minnesota Twins
2003,AL Division Series,3-2,Boston Red Sox over Oakland Athletics
2003,NL Division Series,3-1,Florida Marlins over San Francisco Giants
2003,NL Division Series,3-2,Chicago Cubs over Atlanta Braves
2004,World Series,4-0,Boston Red Sox over St. Louis Cardinals
2004,ALCS,4-3,Boston Red Sox over New York Yankees
2004,NLCS,4-3,St. Louis Cardinals over Houston Astros
2004,AL Division Series,3-0,Boston Red Sox over Anaheim Angels
2004,AL Division Series,3-1,New York Yankees over Minnesota Twins
2004,NL Division Series,3-1,St. Louis Cardinals over Los Angeles Dodgers
2004,NL Division Series,3-2,Houston Astros over Atlanta Braves
2005,World Series,4-0,Chicago White Sox over Houston Astros
2005,ALCS,4-1,Chicago White Sox over Los Angeles Angels of Anaheim
2005,NLCS,4-2,Houston Astros over St. Louis Cardinals
2005,AL Division Series,3-0,Chicago White Sox over Boston Red Sox
2005,AL Division Series,3-2,Los Angeles Angels of Anaheim over New York Yankees
2005,NL Division Series,3-0,St. Louis Cardinals over San Diego Padres
2005,NL Division Series,3-1,Houston Astros over Atlanta Braves
2006,World Series,4-1,St. Louis Cardinals over Detroit Tigers
2006,ALCS,4-0,Detroit Tigers over Oakland Athletics
2006,NLCS,4-3,St. Louis Cardinals over New York Mets
2006,AL Division Series,3-1,Detroit Tigers over New York Yankees
2006,AL Division Series,3-0,Oakland Athletics over Minnesota Twins
2006,NL Division Series,3-0,New York Mets over Los Angeles Dodgers
2006,NL Division Series,3-1,St. Louis Cardinals over San Diego Padres
2007,World Series,4-0,Boston Red Sox over Colorado Rockies
2007,ALCS,4-3,Boston Red Sox over Cleveland Indians
2007,NLCS,4-0,Colorado Rockies over Arizona Diamondbacks
2007,AL Division Series,3-0,Boston Red Sox over Los Angeles Angels of Anaheim
2007,AL Division Series,3-1,Cleveland Indians over New York Yankees
2007,NL Division Series,3-0,Arizona Diamondbacks over Chicago Cubs
2007,NL Division Series,3-0,Colorado Rockies over Philadelphia Phillies
2008,World Series,4-1,Philadelphia Phillies over Tampa Bay Rays
2008,ALCS,4-3,Tampa Bay Rays over Boston Red Sox
2008,NLCS,4-1,Philadelphia Phillies over Los Angeles Dodgers
2008,AL Division Series,3-1,Boston Red Sox over Los Angeles Angels of Anaheim
2008,AL Division Series,3-1,Tampa Bay Rays over Chicago White Sox
2008,NL Division Series,3-0,Los Angeles Dodgers over Chicago Cubs
2008,NL Division Series,3-1,Philadelphia Phillies over Milwaukee Brewers
2009,World Series,4-2,New York Yankees over Philadelphia Phillies
2009,ALCS,4-2,New York Yankees over Los Angeles Angels of Anaheim
2009,NLCS,4-1,Philadelphia Phillies over Los Angeles Dodgers
2009,AL Division Series,3-0,New York Yankees over Minnesota Twins
2009,AL Division Series,3-0,Los Angeles Angels of Anaheim over Boston Red Sox
2009,NL Division Series,3-0,Los Angeles Dodgers over St. Louis Cardinals
2009,NL Division Series,3-1,Philadelphia Phillies over Colorado Rockies
2010,World Series,4-1,San Francisco Giants over Texas Rangers
2010,ALCS,4-2,Texas Rangers over New York Yankees
2010,NLCS,4-2,San Francisco Giants over Philadelphia Phillies
2010,AL Division Series,3-2,Texas Rangers over Tampa Bay Rays
2010,AL Division Series,3-0,New York Yankees over Minnesota Twins
2010,NL Division Series,3-0,Philadelphia Phillies over Cincinnati Reds
2010,NL Division Series,3-1,San Francisco Giants over Atlanta Braves
2011,World Series,4-3,St. Louis Cardinals over Texas Rangers
2011,ALCS,4-2,Texas Rangers over Detroit Tigers
2011,NLCS,4-2,St. Louis Cardinals over Milwaukee Brewers
2011,AL Division Series,3-2,Detroit Tigers over New York Yankees
2011,AL Division Series,3-1,Texas Rangers over Tampa Bay Rays
2011,NL Division Series,3-2,St. Louis Cardinals over Philadelphia Phillies
2011,NL Division Series,3-2,Milwaukee Brewers over Arizona Diamondbacks
2012,World Series,4-0,San Francisco Giants over Detroit Tigers
2012,ALCS,4-0,Detroit Tigers over New York Yankees
2012,NLCS,4-3,San Francisco Giants over St. Louis Cardinals
2012,AL Division Series,3-2,New York Yankees over Baltimore Orioles
2012,AL Division Series,3-2,Detroit Tigers over Oakland Athletics
2012,NL Division Series,3-2,St. Louis Cardinals over Washington Nationals
2012,NL Division Series,3-2,San Francisco Giants over Cincinnati Reds
2012,Wild Card Game,1-0,Baltimore Orioles over Texas Rangers
2012,Wild Card Game,1-0,St. Louis Cardinals over Atlanta Braves
2013,World Series,4-2,Boston Red Sox over St. Louis Cardinals
2013,ALCS,4-2,Boston Red Sox over Detroit Tigers
2013,NLCS,4-2,St. Louis Cardinals over Los Angeles Dodgers
2013,AL Division Series,3-1,Boston Red Sox over Tampa Bay Rays
2013,AL Division Series,3-2,Detroit Tigers over Oakland Athletics
2013,NL Division Series,3-2,St. Louis Cardinals over Pittsburgh Pirates
2013,NL Division Series,3-1,Los Angeles Dodgers over Atlanta Braves
2013,Wild Card Game,1-0,Tampa Bay Rays over Cleveland Indians
2013,Wild Card Game,1-0,Pittsburgh Pirates over Cincinnati Reds
2014,World Series,4-3,San Francisco Giants over Kansas City Royals
2014,ALCS,4-0,Kansas City Royals over Baltimore Orioles
2014,NLCS,4-1,San Francisco Giants over St. Louis Cardinals
2014,AL Division Series,3-0,Kansas City Royals over Los Angeles Angels of Anaheim
2014,AL Division Series,3-0,Baltimore Orioles over Detroit Tigers
2014,NL Division Series,3-1,San Francisco Giants over Washington Nationals
2014,NL Division Series,3-1,St. Louis Cardinals over Los Angeles Dodgers
2014,Wild Card Game,1-0,Kansas City Royals over Oakland Athletics
2014,Wild Card Game,1-0,San Francisco Giants over Pittsburgh Pirates
2015,World Series,4-1,Kansas City Royals over New York Mets
2015,ALCS,4-2,Kansas City Royals over Toronto Blue Jays
2015,NLCS,4-0,New York Mets over Chicago Cubs
2015,AL Division Series,3-2,Kansas City Royals over Houston Astros
2015,AL Division Series,3-2,Toronto Blue Jays over Texas Rangers
2015,NL Division Series,3-1,Chicago Cubs over St. Louis Cardinals
2015,NL Division Series,3-2,New York Mets over Los Angeles Dodgers
2015,Wild Card Game,1-0,Houston Astros over New York Yankees
2015,Wild Card Game,1-0,Chicago Cubs over Pittsburgh Pirates
2016,World Series,4-3,Chicago Cubs over Cleveland Indians
2016,ALCS,4-1,Cleveland Indians over Toronto Blue Jays
2016,NLCS,4-2,Chicago Cubs over Los Angeles Dodgers
2016,AL Division Series,3-0,Toronto Blue Jays over Texas Rangers
2016,AL Division Series,3-0,Cleveland Indians over Boston Red Sox
2016,NL Division Series,3-1,Chicago Cubs over San Francisco Giants
2016,NL Division Series,3-2,Los Angeles Dodgers over Washington Nationals
2016,Wild Card Game,1-0,Toronto Blue Jays over Baltimore Orioles
2016,Wild Card Game,1-0,San Francisco Giants over New York Mets
2017,World Series,4-3,Houston Astros over Los Angeles Dodgers
2017,ALCS,4-3,Houston Astros over New York Yankees
2017,NLCS,4-1,Los Angeles Dodgers over Chicago Cubs
2017,AL Division Series,3-2,New York Yankees over Cleveland Indians
2017,AL Division Series,3-1,Houston Astros over Boston Red Sox
2017,NL Division Series,3-0,Los Angeles Dodgers over Arizona Diamondbacks
2017,NL Division Series,3-2,Chicago Cubs over Washington Nationals
2017,Wild Card Game,1-0,New York Yankees over Minnesota Twins
2017,Wild Card Game,1-0,Arizona Diamondbacks over Colorado Rockies
2018,World Series,4-1,Boston Red Sox over Los Angeles Dodgers
2018,ALCS,4-1,Boston Red Sox over Houston Astros
2018,NLCS,4-3,Los Angeles Dodgers over Milwaukee Brewers
2018,AL Division Series,3-1,Boston Red Sox over New York Yankees
2018,AL Division Series,3-0,Houston Astros over Cleveland Indians
2018,NL Division Series,3-0,Milwaukee Brewers over Colorado Rockies
2018,NL Division Series,3-1,Los Angeles Dodgers over Atlanta Braves
2018,Wild Card Game,1-0,New York Yankees over Oakland Athletics
2018,Wild Card Game,1-0,Colorado Rockies over Chicago Cubs
2019,World Series,4-3,Washington Nationals over Houston Astros
2019,ALCS,4-2,Houston Astros over New York Yankees
2019,NLCS,4-0,Washington Nationals over St. Louis Cardinals
2019,AL Division Series,3-2,Houston Astros over Tampa Bay Rays
2019,AL Division Series,3-0,New York Yankees over Minnesota Twins
2019,NL Division Series,3-2,Washington Nationals over Los Angeles Dodgers
2019,NL Division Series,3-2,St. Louis Cardinals over Atlanta Braves
2019,Wild Card Game,1-0,Tampa Bay Rays over Oakland Athletics
2019,Wild Card Game,1-0,Washington Nationals over Milwaukee Brewers
2020,World Series,4-2,Los Angeles Dodgers over Tampa Bay Rays
2020,ALCS,4-3,Tampa Bay Rays over Houston Astros
2020,NLCS,4-3,Los Angeles Dodgers over Atlanta Braves
2020,AL Division Series,3-2,Tampa Bay Rays over New York Yankees
2020,AL Division Series,3-1,Houston Astros over Oakland Athletics
2020,NL Division Series,3-0,Los Angeles Dodgers over San Diego Padres
2020,NL Division Series,3-0,Atlanta Braves over Miami Marlins
2020,Wild Card Series,2-0,Tampa Bay Rays over Toronto Blue Jays
2020,Wild Card Series,2-0,New York Yankees over Cleveland Indians
2020,Wild Card Series,2-0,Houston Astros over Minnesota Twins
2020,Wild Card Series,2-1,Oakland Athletics over Chicago White Sox
2020,Wild Card Series,2-0,Los Angeles Dodgers over Milwaukee Brewers
2020,Wild Card Series,2-1,San Diego Padres over St. Louis Cardinals
2020,Wild Card Series,2-0,Miami Marlins over Chicago Cubs
2020,Wild Card Series,2-0,Atlanta Braves over Cincinnati Reds
2021,World Series,4-2,Atlanta Braves over Houston Astros
2021,ALCS,4-2,Houston Astros over Boston Red Sox
2021,NLCS,4-2,Atlanta Braves over Los Angeles Dodgers
2021,AL Division Series,3-1,Houston Astros over Chicago White Sox
2021,AL Division Series,3-1,Boston Red Sox over Tampa Bay Rays
2021,NL Division Series,3-1,Atlanta Braves over Milwaukee Brewers
2021,NL Division Series,3-2,Los Angeles Dodgers over San Francisco Giants
2021,Wild Card Game,1-0,Boston Red Sox over New York Yankees
2021,Wild Card Game,1-0,Los Angeles Dodgers over St. Louis Cardinals
2022,World Series,4-2,Houston Astros over Philadelphia Phillies
2022,ALCS,4-0,Houston Astros over New York Yankees
2022,NLCS,4-1,Philadelphia Phillies over San Diego Padres
2022,AL Division Series,3-2,New York Yankees over Cleveland Guardians
2022,AL Division Series,3-0,Houston Astros over Seattle Mariners
2022,NL Division Series,3-1,Philadelphia Phillies over Atlanta Braves
2022,NL Division Series,3-1,San Diego Padres over Los Angeles Dodgers
2022,Wild Card Series,2-0,Cleveland Guardians over Tampa Bay Rays
2022,Wild Card Series,2-0,Seattle Mariners over Toronto Blue Jays
2022,Wild Card Series,2-1,San Diego Padres over New York Mets
2022,Wild Card Series,2-0,Philadelphia Phillies over St. Louis Cardinals
2023,World Series,4-1,Texas Rangers over Arizona Diamondbacks
2023,ALCS,4-3,Texas Rangers over Houston Astros
2023,NLCS,4-3,Arizona Diamondbacks over Philadelphia Phillies
2023,AL Division Series,3-0,Texas Rangers over Baltimore Orioles
2023,AL Division Series,3-1,Houston Astros over Minnesota Twins
2023,NL Division Series,3-1,Philadelphia Phillies over Atlanta Braves
2023,NL Division Series,3-0,Arizona Diamondbacks over Los Angeles Dodgers
2023,Wild Card Series,2-0,Texas Rangers over Tampa Bay Rays
2023,Wild Card Series,2-0,Minnesota Twins over Toronto Blue Jays
2023,Wild Card Series,2-0,Arizona Diamondbacks over Milwaukee Brewers
2023,Wild Card Series,2-0,Philadelphia Phillies over Miami Marlins
