Season,Team,Opening Day 26-man Payroll
2024,Chicago White Sox,123089383
2023,Chicago White Sox,181158666
2022,Chicago White Sox,193370219
2021,Chicago White Sox,128716666
2020,Chicago White Sox,50204444
2019,Chicago White Sox,88902000
2018,Chicago White Sox,71217000
2017,Chicago White Sox,97823271
2016,Chicago White Sox,114498667
2015,Chicago White Sox,118619378
2014,Chicago White Sox,90062659
2013,Chicago White Sox,118914500
2012,Chicago White Sox,97669500
2011,Chicago White Sox,127789000
2010,Chicago White Sox,103080000
2009,Chicago White Sox,96068500
2008,Chicago White Sox,121189332
2007,Chicago White Sox,108671833
2006,Chicago White Sox,102750667
2005,Chicago White Sox,75178000
2004,Chicago White Sox,65212500
2003,Chicago White Sox,51010000
2002,Chicago White Sox,57052833
2001,Chicago White Sox,65628667
2000,Chicago White Sox,31200000
2024,Cleveland Guardians,98283529
2023,Cleveland Guardians,89424629
2022,Cleveland Guardians,68238900
2021,Cleveland Guardians,49694300
2020,Cleveland Guardians,36186740
2019,Cleveland Guardians,119575032
2018,Cleveland Guardians,134851565
2017,Cleveland Guardians,124116166
2016,Cleveland Guardians,96304400
2015,Cleveland Guardians,87997101
2014,Cleveland Guardians,85416235
2013,Cleveland Guardians,80605733
2012,Cleveland Guardians,65430300
2011,Cleveland Guardians,49426567
2010,Cleveland Guardians,61453967
2009,Cleveland Guardians,81579166
2008,Cleveland Guardians,78970066
2007,Cleveland Guardians,61673267
2006,Cleveland Guardians,56031500
2005,Cleveland Guardians,41502500
2004,Cleveland Guardians,34319300
2003,Cleveland Guardians,48584834
2002,Cleveland Guardians,78909499
2001,Cleveland Guardians,93360000
2000,Cleveland Guardians,76500000
2024,Detroit Tigers,97684833
2023,Detroit Tigers,122235500
2022,Detroit Tigers,135043500
2021,Detroit Tigers,80866200
2020,Detroit Tigers,43442519
2019,Detroit Tigers,115118500
2018,Detroit Tigers,125286000
2017,Detroit Tigers,199750600
2016,Detroit Tigers,198593000
2015,Detroit Tigers,172792250
2014,Detroit Tigers,163635500
2013,Detroit Tigers,148693600
2012,Detroit Tigers,133995400
2011,Detroit Tigers,106953000
2010,Detroit Tigers,133995400
2009,Detroit Tigers,115085145
2008,Detroit Tigers,137685196
2007,Detroit Tigers,95180369
2006,Detroit Tigers,82612866
2005,Detroit Tigers,69092000
2004,Detroit Tigers,46832000
2003,Detroit Tigers,49168000
2002,Detroit Tigers,55048000
2001,Detroit Tigers,49456167
2000,Detroit Tigers,61700000
2024,Kansas City Royals,115357261
2023,Kansas City Royals,92468100
2022,Kansas City Royals,94832900
2021,Kansas City Royals,88946700
2020,Kansas City Royals,34199019
2019,Kansas City Royals,96565066
2018,Kansas City Royals,122233117
2017,Kansas City Royals,143005817
2016,Kansas City Royals,131487125
2015,Kansas City Royals,112857025
2014,Kansas City Royals,92185521
2013,Kansas City Royals,81871725
2012,Kansas City Royals,64001725
2011,Kansas City Royals,38176000
2010,Kansas City Royals,74985210
2009,Kansas City Royals,70519333
2008,Kansas City Royals,58245500
2007,Kansas City Royals,67166500
2006,Kansas City Royals,47294000
2005,Kansas City Royals,36881000
2004,Kansas City Royals,47609000
2003,Kansas City Royals,40518000
2002,Kansas City Royals,47257000
2001,Kansas City Royals,35422500
2000,Kansas City Royals,23100000
2024,Minnesota Twins,127317590
2023,Minnesota Twins,153713740
2022,Minnesota Twins,134408190
2021,Minnesota Twins,125277666
2020,Minnesota Twins,45620603
2019,Minnesota Twins,119651933
2018,Minnesota Twins,128713226
2017,Minnesota Twins,108102500
2016,Minnesota Twins,105333700
2015,Minnesota Twins,108262500
2014,Minnesota Twins,85465000
2013,Minnesota Twins,82010000
2012,Minnesota Twins,100435000
2011,Minnesota Twins,113237000
2010,Minnesota Twins,97659167
2009,Minnesota Twins,65299266
2008,Minnesota Twins,56932766
2007,Minnesota Twins,71439500
2006,Minnesota Twins,63396006
2005,Minnesota Twins,56186000
2004,Minnesota Twins,53585000
2003,Minnesota Twins,55505000
2002,Minnesota Twins,40225000
2001,Minnesota Twins,24130000
2000,Minnesota Twins,15700000
2024,Baltimore Orioles,92970900
2023,Baltimore Orioles,60872400
2022,Baltimore Orioles,43718167
2021,Baltimore Orioles,57046232
2020,Baltimore Orioles,23770983
2019,Baltimore Orioles,80239882
2018,Baltimore Orioles,148574615
2017,Baltimore Orioles,164326172
2016,Baltimore Orioles,147693713
2015,Baltimore Orioles,118975833
2014,Baltimore Orioles,107976153
2013,Baltimore Orioles,92238333
2012,Baltimore Orioles,84102333
2011,Baltimore Orioles,86942583
2010,Baltimore Orioles,73812500
2009,Baltimore Orioles,67101666
2008,Baltimore Orioles,67196246
2007,Baltimore Orioles,93554808
2006,Baltimore Orioles,72585582
2005,Baltimore Orioles,73914333
2004,Baltimore Orioles,51623333
2003,Baltimore Orioles,73877500
2002,Baltimore Orioles,60493487
2001,Baltimore Orioles,74279540
2000,Baltimore Orioles,83100000
2024,Boston Red Sox,171242167
2023,Boston Red Sox,181207484
2022,Boston Red Sox,206553059
2021,Boston Red Sox,180147694
2020,Boston Red Sox,73931812
2019,Boston Red Sox,236171429
2018,Boston Red Sox,233752429
2017,Boston Red Sox,197041179
2016,Boston Red Sox,197899679
2015,Boston Red Sox,184345996
2014,Boston Red Sox,156350125
2013,Boston Red Sox,154555500
2012,Boston Red Sox,175249119
2011,Boston Red Sox,163822475
2010,Boston Red Sox,168109833
2009,Boston Red Sox,121745999
2008,Boston Red Sox,133390035
2007,Boston Red Sox,143026214
2006,Boston Red Sox,120099824
2005,Boston Red Sox,123505125
2004,Boston Red Sox,127298500
2003,Boston Red Sox,99946500
2002,Boston Red Sox,108366060
2001,Boston Red Sox,110035883
2000,Boston Red Sox,81200000
2024,New York Yankees,296672047
2023,New York Yankees,277749872
2022,New York Yankees,245963214
2021,New York Yankees,197675220
2020,New York Yankees,108115350
2019,New York Yankees,203897446
2018,New York Yankees,166111632
2017,New York Yankees,196389700
2016,New York Yankees,225997792
2015,New York Yankees,217758571
2014,New York Yankees,197230609
2013,New York Yankees,228106125
2012,New York Yankees,209792900
2011,New York Yankees,207047964
2010,New York Yankees,213359389
2009,New York Yankees,201449189
2008,New York Yankees,209081577
2007,New York Yankees,189639045
2006,New York Yankees,194663079
2005,New York Yankees,208306817
2004,New York Yankees,184193750
2003,New York Yankees,152749814
2002,New York Yankees,125928583
2001,New York Yankees,112287143
2000,New York Yankees,107588459
2024,Tampa Bay Rays,98873112
2023,Tampa Bay Rays,73184812
2022,Tampa Bay Rays,83857113
2021,Tampa Bay Rays,66714834
2020,Tampa Bay Rays,28773481
2019,Tampa Bay Rays,60084133
2018,Tampa Bay Rays,76388930
2017,Tampa Bay Rays,70064700
2016,Tampa Bay Rays,66681991
2015,Tampa Bay Rays,75794234
2014,Tampa Bay Rays,76872384
2013,Tampa Bay Rays,61928975
2012,Tampa Bay Rays,63627200
2011,Tampa Bay Rays,42171308
2010,Tampa Bay Rays,72847133
2009,Tampa Bay Rays,63313034
2008,Tampa Bay Rays,43745597
2007,Tampa Bay Rays,24123500
2006,Tampa Bay Rays,35417967
2005,Tampa Bay Rays,29679067
2004,Tampa Bay Rays,29556667
2003,Tampa Bay Rays,19630000
2002,Tampa Bay Rays,34380000
2001,Tampa Bay Rays,56980000
2000,Tampa Bay Rays,64400000
2024,Toronto Blue Jays,225362600
2023,Toronto Blue Jays,209938983
2022,Toronto Blue Jays,171040621
2021,Toronto Blue Jays,135223171
2020,Toronto Blue Jays,51538089
2019,Toronto Blue Jays,114546171
